geneid	Anp_day3_rep1	Anp_day7_rep1	Anp_day14_rep1	Anp_day3_rep2	Anp_day7_rep2	Anp_day14_rep2	Anp_day3_rep3	Anp_day7_rep3	Anp_day14_rep3	AMn_day3_rep1	AMn_day7_rep1	AMn_day14_rep1	AMn_day3_rep2	AMn_day7_rep2	AMn_day14_rep2	AMn_day3_rep3	AMn_day7_rep3	AMn_day14_rep3	AMp_day3_rep1	AMp_day7_rep1	AMp_day14_rep1	AMp_day3_rep2	AMp_day7_rep2	AMp_day14_rep2	AMp_day3_rep3	AMp_day7_rep3	AMp_day14_rep3	AMnp_day3_rep1	AMnp_day7_rep1	AMnp_day14_rep1	AMnp_day3_rep2	AMnp_day7_rep2	AMnp_day14_rep2	AMnp_day3_rep3	AMnp_day7_rep3	AMnp_day14_rep3
KCNMA1	560.3557030161122	499.90089303258384	737.4925569830569	527.4964820258514	501.26349197913476	766.3797202713426	523.4301301721432	485.54270448124544	720.4722040554994	641.6861811610137	769.90975878861	869.0543833782566	600.3866328066179	727.9301447125482	884.4470354272905	647.8968851105727	709.3094675711343	847.5844945133792	870.4318136116467	1125.3388188922188	1349.0118993345877	998.0900958169603	1099.6991530454534	1311.3668880338953	949.33148922876	1108.5921399120434	1366.690065188724	481.60353111217506	682.435239325019	910.5293719413404	463.8892834209764	687.6077941374507	920.7327270252993	483.5115219572067	674.1380620973213	923.1546524943294
SGCB	1156.901993305522	924.5080702877182	1066.495638239682	1185.9520525423998	970.2992012655599	1073.037692361686	1118.6530758508707	916.9442968589452	1027.476345373951	1690.873397960491	1397.833079272725	1405.6354944706102	1671.0794945882017	1409.9194761970903	1428.1417343482708	1767.4102040444966	1431.6119059058094	1420.5390843916782	908.580980043331	652.9815946468998	757.8499739659711	946.905340283912	610.0264665956133	763.3887812923996	882.6525620057524	644.0205008778083	785.9534983104572	1238.55445591264	1009.0303345915777	995.4700599285145	1199.8954866658428	908.8973575329105	1018.2416890805739	1141.7865243414687	913.1058172149595	960.6415905436413
PER3	373.00285734245307	280.8337585720608	241.48677369621714	357.7708009876603	310.51770273844073	249.99086131358035	346.0973694069112	279.77505411060315	233.71243069258676	306.75926009163555	348.4663543360683	334.1075235042896	304.8864893809206	388.6874735943241	347.9698294483087	269.0183935890599	384.49721483050524	321.94663599044065	847.9226382107184	737.2645028573199	700.1073578097847	758.4645531202901	795.6555112018333	715.6327267614266	797.6409362620182	808.4107972605096	687.202178815021	417.99313619593187	378.0180119432156	288.26438595771793	438.7276724275877	338.3349034453928	270.1405854247397	409.3506457415684	367.8989763901295	259.0565667222483
ADAMTS7	238.45986467864435	291.09671785750913	214.26788260725323	258.7534853544195	293.19452452726784	201.00483459461537	255.7491575825253	289.4588499234889	216.15887872757762	465.8131826412921	292.85506209409436	234.6156818758525	501.841666454817	289.62805579890687	240.16074127472467	497.84734576741783	261.01559415006625	243.0331301160385	131.71098454167947	114.96721926666613	100.99187298760513	147.81995298553267	119.64575614726684	94.02684937042572	135.37231888731594	102.4402077068103	89.57451293180765	191.68592650928343	168.0423586933748	131.72485935466653	196.85058726202712	164.26574397780865	129.14738907483343	217.29919792214082	188.53288482038036	130.51191901265352
PI15	184.65955178231346	2076.743259087176	7090.318513522345	179.54453838013328	1998.1405208522597	6496.361114371865	183.26873464566648	1842.9320757864084	6735.389203799739	145.65239016873716	247.23470846775544	892.8264798931209	131.94529842832665	284.6559924737909	969.2913495990076	127.87075503441284	282.9863061509486	947.0032216548942	112.25557516382558	576.6035976033504	1305.9227975816077	138.8998175079268	448.30818554393096	1287.8084847445418	135.68012561401602	579.6324067428728	1280.7795647173189	183.8639987365974	966.6201131321221	3784.9051852762304	164.66882370251543	930.4682841455109	3694.3404805166824	177.3817706801718	813.4334614406731	3709.9723010868656
EIF4H	1742.0749129846406	1751.0715355236337	1700.4751065051419	1767.9146894543724	1713.414643903133	1735.146864365209	1727.3851350857447	1725.3155359663417	1745.5602282086877	2620.46410196389	2369.1721311051824	1842.6137063714584	2569.058894476976	2406.626353071544	1876.1999927325237	2580.519029063954	2308.1194681085744	1862.5972177605988	1913.1493604807745	1674.3716978303546	1589.784308581364	1924.4016185917696	1673.7919242312853	1576.934478263478	1836.0632488162366	1633.3935895587097	1534.1172769854236	1912.593520244146	1681.310846125088	1712.4510334778581	1896.1133858815606	1683.6950977545216	1686.9733361122715	1843.1276347158991	1702.4845542231196	1678.78256583831
TP53INP2	1405.6111033032216	1266.2614510703054	965.240308984145	1436.1676509555427	1212.47916817172	923.7838365998023	1426.3719855066308	1239.2900150308135	1003.1115031408623	1829.194597177785	1249.753593357191	1078.1534308833627	1796.01306295187	1164.8866082490995	1066.7050953458433	1846.729184838336	1195.9877719618785	1089.1474082329485	771.2679937054708	648.927044836502	540.2113822961842	829.2505553485648	639.2401024745715	563.6990396175161	802.4802029276375	600.5613626107017	555.7866456030179	1323.3833986353336	980.0001978636234	731.6807815960854	1309.9977762942806	989.4783819599735	763.6566016328767	1477.5799759012687	991.3292241565512	831.8212926170319
MAPRE1	931.2561941276062	1122.9164311978714	1272.7247146418065	935.6943835766165	1075.7246863647956	1297.2691310623572	913.0671696093599	1058.484575537323	1305.6744805048302	1120.477296231697	1128.7453128802747	1320.0525101226028	1145.6245854858064	1163.4189902423375	1355.486932569332	1105.6040749843742	1184.9239741625988	1254.9119920640728	641.1976756509192	672.2450741067821	667.6688739965347	597.5859831247833	638.280616395354	687.335408209885	661.1668975968933	590.1940699826831	672.1082814823856	1039.5245696908908	1134.9686900953827	1345.1900793604077	1055.6632585057189	1100.7493185912247	1387.0160087144777	968.1824599283924	1129.8098553002724	1325.4608420255663
SNHG29	2502.228964160735	2257.322456732041	2533.6399641219923	2647.4540266932436	2236.2050350519917	2586.446455610333	2505.512344131419	2235.8489195425486	2627.861437725075	2801.657364265005	2215.2453839121686	2004.8294752777847	2702.1566772417723	2195.2754106181665	2029.2246362813912	2728.467953963786	2254.846142165944	1997.8482716812205	4114.852691777625	3295.83427478662	3110.3955388379577	3959.8184599534325	3098.8410019185644	3111.0254826059713	4093.9756536776645	3090.2628237729136	3055.2850583283152	2969.3538498211915	2271.6528568459735	2493.58078949868	3035.2250316728005	2212.1145222965506	2485.552649728308	2949.821517930166	2308.7500509545002	2400.531348880096
BVES	811.208904115954	938.9382318586435	872.6353731648338	793.241042498361	907.3187299611861	791.2743782744496	821.4202666843158	842.8587041669755	778.4912919856299	681.9440639078433	488.8585217745138	450.7659715121702	705.9627710702762	471.9203278420087	479.96301114566614	708.0388614823771	466.2664306365879	471.5151653506666	352.4822006515561	301.3897119982921	337.17129734636677	366.7290723303807	336.92794587263654	344.73569976706636	366.9201716680124	323.8013871781211	331.7723543538677	633.7539470537803	675.9006285034767	660.271440005078	683.8268817452789	605.6924474955117	647.0261493597334	717.468887373487	672.6981698547571	593.2196106813744
