run	nodes	geneid	community
1	711	PDZRN3	2
1	711	SET	2
1	711	SLC38A4	3
1	711	SNHG1	2
1	711	SOX8	1
1	711	SQSTM1	1
1	711	RASAL1	2
1	711	DTWD1	2
1	711	HELZ2	1
1	711	NPTX1	1
1	711	STRADB	2
1	711	IP6K3	3
1	711	MACROH2A1	3
1	711	SCD5	2
1	711	PRAG1	1
1	711	ITGA6	2
1	711	ANTXR1	2
1	711	LMX1A	3
1	711	NINJ1	1
1	711	LTBP2	1
1	711	RNPEP	1
1	711	SLC7A1	1
1	711	IFIH1	1
1	711	ID2	1
1	711	COL4A5	2
1	711	PCYOX1	1
1	711	VSTM4	2
1	711	FOXO1	3
1	711	RBM24	1
1	711	PLEKHD1	3
1	711	KIF1C	1
1	711	KIF3B	2
1	711	FNDC5	3
1	711	GNG5	1
1	711	SMARCC1	1
1	711	CHRNA1	1
1	711	LPAR1	1
1	711	ABCD3	2
1	711	SCRN1	1
1	711	SCN8A	2
1	711	OPRD1	2
1	711	OLFML2A	2
1	711	NTPCR	2
1	711	TMSB4X	1
1	711	FAT1	1
1	711	MX2	1
1	711	PCSK1	2
1	711	ADGRE5	1
1	711	MAN1C1	3
1	711	EMP1	1
1	711	SPATS2L	2
1	711	NRBP1	1
1	711	BST2	1
1	711	NADSYN1	1
1	711	CPD	1
1	711	TMEM14C	1
1	711	SLC36A1	3
1	711	LGALS3BP	1
1	711	SEC24D	2
1	711	EPHB1	3
1	711	ATF7IP	3
1	711	ZNFX1	1
1	711	SVEP1	2
1	711	FBLIM1	1
1	711	TMEM169	2
1	711	PSME1	1
1	711	COBLL1	1
1	711	VASP	1
1	711	TANC1	1
1	711	PGF	2
1	711	TRIP6	1
1	711	RHOA	1
1	711	LDLR	1
1	711	IFI44L	1
1	711	ADGRB2	3
1	711	SH3D19	2
1	711	IL11	1
1	711	SYTL1	2
1	711	MTA2	1
1	711	MAN2B1	1
1	711	RPS19	1
1	711	CES2	2
1	711	CELSR1	2
1	711	ULK1	1
1	711	FAM167A	1
1	711	ARHGAP42	2
1	711	PDE4C	1
1	711	NPPC	1
1	711	CEMIP2	3
1	711	GAL3ST4	1
1	711	TCF3	1
1	711	CDC42SE1	1
1	711	SGCB	1
1	711	XRCC5	1
1	711	SUSD6	1
1	711	BDNF	2
1	711	BTN2A1	1
1	711	GLUL	2
1	711	SLAIN1	3
1	711	TNFRSF10D	2
1	711	EIF4H	1
1	711	PTTG1IP	1
1	711	NOM1	3
1	711	BCL2L1	3
1	711	HMOX1	1
1	711	TMTC3	2
1	711	DCP1B	3
1	711	NCOA4	1
1	711	RPN2	1
1	711	ARAP1	2
1	711	TYMS	2
1	711	GLRX	1
1	711	CDH13	2
1	711	TCEA3	2
1	711	CEP250	1
1	711	GABARAPL1	1
1	711	LRRC59	1
1	711	FAM171B	2
1	711	ZNF385A	3
1	711	H3Y1	2
1	711	RRAD	3
1	711	MTHFD2	1
1	711	MGAT4B	1
1	711	CYGB	1
1	711	CPM	1
1	711	NACC2	1
1	711	NID1	1
1	711	SFRP1	2
1	711	TNFRSF10C	2
1	711	ITPRIPL2	1
1	711	ACTN1	1
1	711	DPP4	1
1	711	PADI2	1
1	711	CCDC88B	2
1	711	NTF4	2
1	711	CBFA2T2	1
1	711	SPATA18	2
1	711	TRIAP1	2
1	711	ZSCAN4	2
1	711	PRKCD	1
1	711	SBF2	3
1	711	AXL	1
1	711	KCNN3	3
1	711	GNS	1
1	711	NR4A1	1
1	711	PLK3	1
