run	nodes	geneid	local_outdegree_centrality	local_betweenness_centrality	outdegree_centrality	betweenness_centrality	community	community_size	rank_betweenness	rank_outdegree	rank_local_betweenness	rank_local_outdegree
7	569	KLF7	0.061619718309859156	0.0009004645154879897	0.0721830985915493	0.00228531683930745	0	151	109.0	59.0	20.0	22.0
7	569	ETV5	0.012323943661971832	0.0	0.012323943661971832	0.0	0	151	569.0	181.0	151.0	58.0
7	547	LMX1A	0.14102564102564102	0.005763349800047048	0.1684981684981685	0.03645864838525389	1	147	2.0	9.0	1.0	3.0
7	547	PRDM1	0.07142857142857142	0.000937594515576167	0.07692307692307693	0.006791679268743489	1	147	53.0	49.0	17.0	10.0
7	547	ISL1	0.038461538461538464	0.00016466713714420136	0.04945054945054945	0.0023154215814766275	1	147	107.0	83.0	42.0	20.0
7	547	KLF7	0.054945054945054944	0.0003024498437342474	0.06593406593406594	0.0027858991161743454	2	96	97.0	61.0	22.0	15.0
7	547	ETV5	0.007326007326007326	1.0081661457808247e-05	0.01282051282051282	1.680276909634708e-05	2	96	253.0	171.0	45.0	38.0
7	528	LMX1A	0.09108159392789374	0.0016846920296390358	0.15749525616698293	0.03733739294810283	3	90	3.0	9.0	2.0	2.0
7	528	PRDM1	0.05692599620493359	0.0011219255272328483	0.07020872865275142	0.00708508596619072	3	90	49.0	50.0	6.0	7.0
7	528	ISL1	0.04174573055028463	0.00034631784763457696	0.051233396584440226	0.0037409542499693364	3	90	85.0	76.0	14.0	13.0
7	528	KLF7	0.05313092979127135	0.001150785347869063	0.06261859582542695	0.003455963521186716	0	143	88.0	58.0	13.0	21.0
7	528	ETV5	0.013282732447817837	4.328973095432212e-05	0.013282732447817837	4.328973095432212e-05	0	143	239.0	164.0	69.0	50.0
7	514	LMX1A	0.12280701754385964	0.005063657407407407	0.14814814814814814	0.045211226851851846	1	131	2.0	10.0	1.0	3.0
7	514	PRDM1	0.0682261208576998	0.0021434880604288497	0.07212475633528265	0.007519340886939571	1	131	47.0	45.0	6.0	9.0
7	514	ISL1	0.03898635477582846	0.0003464607699805068	0.04678362573099415	0.0027183845029239767	1	131	100.0	76.0	29.0	17.0
7	514	KLF7	0.04873294346978557	0.00026270102339181285	0.056530214424951264	0.0005634746588693957	2	90	170.0	60.0	22.0	15.0
7	514	ETV5	0.009746588693957114	3.807261208576998e-05	0.01364522417153996	0.00011421783625730994	2	90	210.0	158.0	40.0	35.0
7	505	LMX1A	0.12103174603174602	0.005266022910158099	0.14285714285714285	0.04458171605288901	1	131	3.0	8.0	1.0	3.0
7	505	PRDM1	0.06547619047619047	0.002358862696834864	0.06944444444444445	0.009325002366751869	1	131	41.0	41.0	7.0	8.0
7	505	ISL1	0.03571428571428571	0.0004615166145981255	0.041666666666666664	0.0013608823250970369	1	131	130.0	81.0	28.0	18.0
7	505	KLF7	0.04365079365079365	0.0002958439837167471	0.051587301587301584	0.0010689829278298464	2	87	144.0	61.0	22.0	15.0
7	505	ETV5	0.00992063492063492	7.100255609201931e-05	0.013888888888888888	0.00031162232951497364	2	87	187.0	148.0	31.0	33.0
7	489	LMX1A	0.1168032786885246	0.004519136903760056	0.13934426229508198	0.034019759652607125	1	127	5.0	7.0	1.0	3.0
7	489	PRDM1	0.06352459016393443	0.002735045612145285	0.06762295081967214	0.01508062072912108	1	127	24.0	41.0	6.0	9.0
7	489	ISL1	0.034836065573770496	0.0008163059211633621	0.04098360655737705	0.0058866597098326985	1	127	68.0	75.0	20.0	18.0
7	489	KLF7	0.045081967213114756	0.0004670616353048103	0.05122950819672131	0.0013591072811121956	2	84	134.0	55.0	16.0	12.0
7	489	ETV5	0.00819672131147541	4.207762480223516e-05	0.012295081967213115	0.00015147944928804656	2	84	199.0	152.0	35.0	34.0
