treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
Anp	1	0.362	positive	397	3424	2.700861207883313	165	4.425787757771166	33.0	-4.240247935363148	0.004460060074675569	-4.93433501548896	0.07510397506560287	
Anp	1	0.364	positive	395	3363	2.6905634480853653	166	4.194864042524264	32.0	-5.229600383992101	0.00029452447783773726	-6.914244345318971	0.029819351573863753	
Anp	1	0.366	positive	393	3300	2.721623634092009	163	4.2711806947247055	32.0	-4.8501235213822875	0.0006633144709135704	-6.378125334677581	0.03911011595256493	
Anp	1	0.368	positive	389	3233	2.8201541299340054	166	9.101636286805732	49.0	0.4950543100572373	0.45031839944772	0.40767274518839436	0.2470265653738969	
Anp	1	0.37	positive	386	3174	2.767183209671848	164	9.13193401320689	48.0	-0.33480363493003695	0.6312201479409671	-0.4277432795415721	0.2693361464366203	
Anp	1	0.372	positive	385	3104	2.841328041942163	165	4.173227548258095	30.0	-4.946839248792651	0.0007730639682409862	-6.188637243373703	0.038683694405730634	
Anp	1	0.374	positive	384	3044	2.896956714037711	164	8.473882402791197	46.0	-0.23945824572285002	0.7144871306568561	-0.34919958133891527	0.7372810372515934	
Anp	1	0.376	positive	381	2978	2.9597294408766057	163	4.14387461338704	29.0	-4.9205103643918395	0.0007753366232060914	-6.1004321147431835	0.03693718865706087	
Anp	1	0.378	positive	378	2912	2.8853555363984387	162	4.095609756569383	28.0	-4.8338557685723575	0.0014929284872399584	-5.567896048029016	0.04115467688382604	
Anp	1	0.38	positive	378	2852	2.7602475510712092	167	4.150170165409557	28.0	-4.27659595825077	0.004596632190610567	-4.703686010933626	0.06028023560217549	
Anp	1	0.382	positive	375	2791	3.0516487071912812	166	3.8821874294976566	26.0	-5.785266522896793	0.00018934122430726717	-6.9473528675727065	0.016071881399843148	
Anp	1	0.384	positive	373	2739	2.984522595500945	167	4.051891969955383	27.0	-4.749568976394051	0.0010883524701542574	-5.620318182075978	0.035996917401798584	
Anp	1	0.386	positive	371	2689	2.8819676975096167	166	4.207090355790408	27.0	-3.80966763490905	0.012529024549859553	-3.9727288011109643	0.08914755420853551	
Anp	1	0.388	positive	369	2641	3.0162498454205524	165	4.039891318530699	26.0	-4.586335495410314	0.0026319034267051665	-5.167753501392021	0.048537842014892855	
Anp	1	0.39	positive	365	2580	2.9447054593169675	164	8.480495993310994	41.0	0.08197643705912294	0.9052702411716311	-0.032099257826040395	0.8991796708877543	
Anp	1	0.392	positive	364	2524	3.108088276322397	169	8.747820758072812	42.0	0.06886413316431139	0.8994410766020433	-0.0389533409097893	0.7749859368096814	
Anp	1	0.394	positive	364	2468	2.9396614909575614	169	7.589750060616973	39.0	-0.2970158318324392	0.6314786985825922	-0.36077265099774647	0.6783713829975142	
Anp	1	0.396	positive	360	2408	3.168309761978006	168	8.477919046352664	41.0	-0.004984912107866668	0.9913700252552216	-0.04756822384839432	0.865569542859705	
Anp	1	0.398	positive	358	2362	3.1278135703473966	168	3.4681595221594375	19.0	-6.494070952441683	0.005368544841898469	-5.964243909551872	0.03095403077086864	
Anp	1	0.4	positive	355	2302	3.220538151983549	165	3.5129059935628777	20.0	-6.210028942352065	0.0020303933684468352	-6.156019691219859	0.026700409902763438	
Anp	1	0.402	positive	353	2249	2.9936589260001334	167	3.5306976966881862	20.0	-5.924943786645972	0.0023869260548061034	-5.894939882114005	0.028846902709338443	
Anp	1	0.404	positive	352	2203	3.139528041807272	160	8.349718278343238	42.0	0.06059302026597657	0.8275328460262139	-0.0009355222716678213	0.9867704817332462	
Anp	1	0.406	positive	350	2156	3.030841593911864	159	9.022702065614062	41.0	0.20617198472523235	0.5781023647025285	-2.1565168120138396	0.3041249876420543	
Anp	1	0.40800000000000003	positive	349	2115	3.0038526527425757	160	7.9251999219581295	39.0	-0.11198637156344704	0.7656752448582975	-0.12107577132214997	0.7600420485391228	
Anp	1	0.41000000000000003	positive	347	2070	3.155506793362663	158	3.6768895550646246	20.0	-4.604764462176722	0.009147120856376168	-4.414029574114548	0.05817309010223224	
Anp	1	0.41200000000000003	positive	346	2029	3.4467447508146196	156	7.08750003767071	35.0	-0.30716154182020095	0.5489851506353125	-0.31196902301856433	0.6435846975698387	
Anp	1	0.41400000000000003	positive	344	1975	3.0432340590363673	161	3.4955399419917703	18.0	-5.5572723471842655	0.004433281518002664	-5.386526192750804	0.03537090010786874	
Anp	1	0.41600000000000004	positive	344	1938	3.1511145149822832	164	3.457952397684437	17.0	-5.244470936271738	0.014746944349126767	-4.7456294274089155	0.04953695735116976	
Anp	1	0.41800000000000004	positive	340	1887	3.1118939497759066	159	3.4665527661845026	17.0	-5.113582124705354	0.014149613334283906	-4.641720201299536	0.05284673120002124	
