treatment	run	threshold	component	nodes	edges	sigma	dominating_size	alpha	xmin	exp_r	exp_p	logn_r	logn_p
AMn	1	0.35	positive	559	3979	1.1889126195533597	238	2.184454845949438	8.0	54.30498490998737	3.0829105187510853e-06	-1.2667856000355537	0.24143856088434812	
AMn	1	0.352	positive	557	3900	1.155305722408363	239	2.1769513535981595	8.0	50.61785709349905	8.027348777226987e-06	-1.4531008680930606	0.21241234872543724	
AMn	1	0.354	positive	555	3830	1.1221480319554558	232	2.123101480058234	7.0	53.60653043904774	1.462464927234362e-05	-2.8922634900781787	0.0812176330153458	
AMn	1	0.356	positive	553	3751	1.1078902028409434	233	2.1304209679604584	7.0	53.97556031302318	9.894229760968132e-06	-2.4114782714508225	0.11163325640653801	
AMn	1	0.358	positive	551	3677	1.13788853231375	233	2.1386418128822298	7.0	54.39258702863111	6.830482428723505e-06	-2.123857041197965	0.13168804326193284	
AMn	1	0.36	positive	551	3590	1.147480162167615	241	2.1390093738610467	7.0	52.111429422001734	1.0468265579915012e-05	-2.0596966595711823	0.13780868819908423	
AMn	1	0.362	positive	550	3527	1.1692179529662448	241	2.1593706390798317	7.0	55.440147282709006	3.167186249785213e-06	-1.412307559943927	0.2138047086642343	
AMn	1	0.364	positive	547	3463	1.1938392818992971	242	2.151280416323367	7.0	52.120637086101645	6.6983599558809335e-06	-1.5759150366026518	0.1906216339421194	
AMn	1	0.366	positive	547	3394	1.0968674849952675	245	2.158486989397918	7.0	52.03369210560532	5.720397766388368e-06	-1.3060151298275722	0.23093349889565307	
AMn	1	0.368	positive	543	3338	1.1421796354558063	244	2.155452506751247	7.0	50.15974835001021	8.99724763740695e-06	-1.3253238113314345	0.22817580831403395	
AMn	1	0.37	positive	519	3239	1.1343133756661719	229	2.158186084277646	7.0	49.174633129737245	1.0321865542502442e-05	-1.185489142133484	0.2547023903727821	
AMn	1	0.372	positive	519	3182	1.218074072385648	229	2.0866830041645326	6.0	50.31251538614716	3.519444422768802e-05	-3.0478934308458943	0.07308439983588938	
AMn	1	0.374	positive	519	3109	1.181676803937252	230	2.147362894067146	7.0	43.375823790093065	4.6103355073017276e-05	-1.4867905564202935	0.2062697562990754	
AMn	1	0.376	positive	519	3031	1.1642966206981948	233	2.08080869003076	6.0	44.70775194543491	0.00011285856405539756	-3.1763487391232372	0.06770628195653179	
AMn	1	0.378	positive	518	2965	1.2045416116476528	236	2.09969669555296	6.0	47.33400437532115	4.5074493625465646e-05	-2.4020369697284556	0.10971284063898741	
AMn	1	0.38	positive	515	2904	1.162320202980873	227	2.1205722582945628	6.0	50.19707298318498	1.7525775946320586e-05	-1.6899309271083425	0.1763696497468461	
AMn	1	0.382	positive	511	2829	1.1343810573353865	292	2.1364952748051107	6.0	51.197332303445066	1.0231370726383646e-05	-1.3279693519912605	0.2235775024841803	
