run	nodes	geneid	community
1	525	SYNJ2BP	0
1	525	MFSD14A	0
1	525	ADGRE5	0
1	525	SEPTIN4	0
1	525	FLRT2	3
1	525	USP14	0
1	525	C12orf45	3
1	525	ACTR1A	0
1	525	HYOU1	0
1	525	NCOA4	0
1	525	KIFAP3	3
1	525	BTG2	0
1	525	OPRD1	0
1	525	RAB31	0
1	525	OSBPL8	3
1	525	TOB1	0
1	525	H2BC21	0
1	525	GPC1	3
1	525	KIF1C	0
1	525	ATP2A2	3
1	525	KIAA1958	3
1	525	LMX1A	0
1	525	PRKX	3
1	525	ZNF337	3
1	525	GNS	0
1	525	MTA2	0
1	525	FAT1	3
1	525	EPHA4	0
1	525	ZNF561	0
1	525	NEURL1B	0
1	525	CDK6	3
1	525	FBXW7	3
1	525	ARHGAP42	0
1	525	ZNF195	0
1	525	KITLG	0
1	525	PSD3	0
1	525	IFFO2	3
1	525	MAP4K4	0
1	525	HSPA4L	3
1	525	SCRN1	0
1	525	UNC119	0
1	515	OTX2	3
1	515	CDHR1	3
1	515	VASP	0
1	515	RBM38	0
1	515	GUCY1A2	3
1	515	PAG1	3
1	515	PRDM1	0
1	515	CHRNB4	3
1	515	TNFRSF21	3
1	515	B4GALNT4	3
1	515	ADAM19	0
1	515	CEBPA	0
1	515	PADI2	0
1	515	SSTR2	0
1	515	PHLDA1	0
1	515	RGR	0
1	515	PXDN	0
1	515	NEFH	3
1	515	ANKRD13B	3
1	515	MFNG	3
1	515	SMARCC1	0
1	515	ISL1	3
1	515	ST6GALNAC5	3
1	515	KIAA0040	3
1	515	CBFA2T2	0
1	515	PRRX1	0
1	515	CD164	0
1	515	TLN1	0
1	515	WASF2	0
1	515	PRR35	3
1	515	SOX8	0
1	515	RGS2	0
1	515	IGDCC3	0
1	515	JAG2	3
1	515	HCN2	3
1	515	CACNA1H	3
1	515	NR4A1	0
1	515	TCF3	0
1	515	PPIF	0
1	515	FNDC5	0
1	515	RASSF3	0
1	515	DBNDD1	3
1	515	RHOB	0
1	515	ROBO1	3
1	515	ADGRA1	3
1	515	RASGEF1B	3
1	515	PTBP1	0
1	515	IQGAP1	0
1	515	TRAK2	3
1	515	GNG5	0
1	515	FBLIM1	0
1	515	GNB3	3
1	515	PTTG1IP	0
1	515	NPNT	3
1	515	TENT5A	0
1	515	CAMK2B	3
1	515	DOCK11	0
1	515	SLC36A1	3
1	515	MYH9	0
1	515	GUCY1A1	3
1	515	HEYL	3
1	515	DGKH	3
1	515	FBXL16	3
1	515	ANTXR2	0
1	515	VAV2	0
1	515	RBMS1	0
1	515	TRIB2	3
1	515	SYN2	3
1	515	PPP2R1B	0
1	515	INAVA	3
1	515	GLRX	0
1	515	TGFB2	3
1	515	GAB1	3
1	515	ADAMTS7	0
1	515	SLAIN1	3
1	515	SGPL1	0
1	515	CDKN2B	3
1	515	ZNF611	0
1	515	CHSY1	0
1	515	LDLR	0
1	515	EPS8L2	3
1	515	CDH2	3
1	515	PCNX1	0
1	515	GDPD5	3
1	515	LGR5	3
1	515	AP3M1	0
1	515	RHOA	0
1	515	BTN2A1	0
1	515	ITGB1	0
1	515	PCSK1	3
1	515	ANKRD65	3
1	515	PRKCD	0
1	515	CDC42SE1	0
1	515	CLCN5	3
1	515	NPTX1	3
1	515	IGFBPL1	3
1	515	CNN3	0
1	515	TUBB4B	3
1	515	TES	0
1	515	JUP	0
1	515	DSP	0
1	515	ST18	3
1	515	PEG10	3
1	515	LRP8	3
1	515	RIMS3	3
1	515	VGLL4	0
1	515	PALLD	3
1	515	KLF7	3
1	515	BVES	0
1	515	DDX3X	0
1	515	FAM167A	0
1	515	EDNRA	3
1	515	SYBU	3
1	515	TXNRD1	0
1	515	ACTA2	3
1	515	KPNA2	0
1	515	AKAP13	3
1	515	CEMIP2	0
1	515	PENK	0
1	515	HEY1	0
1	515	OXSR1	0
1	515	SPATS2L	0
1	515	ZNF217	0
1	515	IGF2BP2	3
1	515	NRBP1	0
1	515	LRRC8D	3
1	515	SNHG1	0
1	515	CXCL1	0
1	515	ATP5MC3	3
1	515	PFKFB3	0
1	515	GRB2	0
1	515	NARF	3
1	515	KANK4	3
1	515	FADS1	3
1	515	SNX18	3
1	515	CHD7	3
1	515	ACLY	0
1	515	CDC42EP3	0
1	515	DAZL	0
1	515	MAFG	0
1	515	KLF6	0
1	515	LAMP2	0
1	515	SLC39A10	3
1	515	PSME4	0
1	515	GRB7	3
1	515	ARFGEF1	3
1	515	ZC3H12C	3
1	515	SDCBP	0
1	515	E2F3	0
1	515	HMOX1	0
1	515	SVIL	3
1	515	LIMK2	0
1	515	STK32C	3
1	515	GRK2	0
1	515	CKB	0
1	515	TMSB4X	0
1	515	SERTAD2	0
1	515	RBM24	0
1	515	SLC7A1	0
1	515	H1-0	0
1	515	DPP4	0
1	515	PDLIM5	0
1	515	POR	0
1	515	ULK1	0
1	515	KAT6A	0
1	515	TP53INP2	0
1	515	RPN2	0
1	515	TMEM169	0
1	515	GRIA4	3
1	515	HES6	0
1	515	ANXA5	0
1	515	XRCC5	0
1	515	ASXL3	3
1	515	INKA2	3
1	515	ASAP1	0
1	515	ITPRIPL2	0
1	515	ENO3	0
1	515	SYNJ2BP	0
1	515	MFSD14A	0
1	515	ADGRE5	0
1	515	SEPTIN4	0
1	515	FLRT2	3
1	515	USP14	0
1	515	C12orf45	3
1	515	ACTR1A	0
1	515	HYOU1	0
1	515	NCOA4	0
1	515	KIFAP3	3
1	515	BTG2	0
1	515	OPRD1	0
1	515	RAB31	0
1	515	OSBPL8	3
1	515	TOB1	0
1	515	H2BC21	0
1	515	GPC1	3
1	515	KIF1C	0
1	515	ATP2A2	3
1	515	KIAA1958	3
1	515	LMX1A	0
1	515	PRKX	0
1	515	ZNF337	3
1	515	GNS	0
1	515	MTA2	0
1	515	FAT1	3
1	515	ZNF561	0
1	515	NEURL1B	0
1	515	CDK6	3
1	515	FBXW7	3
1	515	ARHGAP42	0
1	515	ZNF195	0
1	515	KITLG	0
1	515	PSD3	0
1	515	IFFO2	3
1	515	MAP4K4	0
1	515	HSPA4L	3
1	506	OTX2	3
1	506	CDHR1	3
1	506	VASP	0
1	506	RBM38	0
1	506	GUCY1A2	3
1	506	PAG1	3
1	506	PRDM1	0
1	506	CHRNB4	3
1	506	TNFRSF21	3
1	506	B4GALNT4	3
1	506	ADAM19	0
1	506	CEBPA	0
1	506	PADI2	0
1	506	SSTR2	0
1	506	PHLDA1	0
1	506	RGR	0
1	506	PXDN	0
1	506	NEFH	3
1	506	ANKRD13B	3
1	506	MFNG	3
1	506	SMARCC1	0
1	506	ISL1	3
1	506	ST6GALNAC5	3
1	506	KIAA0040	3
1	506	CBFA2T2	0
1	506	PRRX1	0
1	506	CD164	0
1	506	TLN1	0
1	506	WASF2	0
1	506	PRR35	3
1	506	SOX8	0
1	506	RGS2	0
1	506	IGDCC3	0
1	506	JAG2	3
1	506	HCN2	3
1	506	CACNA1H	3
1	506	NR4A1	0
1	506	TCF3	0
1	506	PPIF	0
1	506	FNDC5	0
1	506	RASSF3	0
1	506	DBNDD1	3
1	506	RHOB	0
1	506	ROBO1	3
1	506	ADGRA1	3
1	506	RASGEF1B	3
1	506	PTBP1	0
1	506	IQGAP1	0
1	506	TRAK2	3
1	506	GNG5	0
1	506	FBLIM1	0
1	506	GNB3	3
1	506	PTTG1IP	0
1	506	NPNT	3
1	506	TENT5A	0
1	506	CAMK2B	3
1	506	DOCK11	0
1	506	SLC36A1	3
1	506	MYH9	0
1	506	GUCY1A1	3
1	506	HEYL	3
1	506	DGKH	3
1	506	FBXL16	3
1	506	ANTXR2	0
1	506	VAV2	0
1	506	RBMS1	0
1	506	TRIB2	3
1	506	SYN2	3
1	506	PPP2R1B	0
1	506	INAVA	3
1	506	GLRX	0
1	506	TGFB2	3
1	506	GAB1	3
1	506	ADAMTS7	0
1	506	SLAIN1	3
1	506	SGPL1	0
1	506	CDKN2B	3
1	506	ZNF611	0
1	506	CHSY1	0
1	506	LDLR	0
1	506	EPS8L2	3
1	506	CDH2	3
1	506	PCNX1	0
1	506	GDPD5	3
1	506	LGR5	3
1	506	AP3M1	0
1	506	RHOA	0
1	506	BTN2A1	0
1	506	ITGB1	0
1	506	PCSK1	3
1	506	ANKRD65	3
1	506	PRKCD	0
